input,output,type,variant,strategy,complexity,run,duration,sfc_bytes,sfc_lines,instances_mapped,instances_unmapped,instances_total,mapping_coverage,frames_compound,frames_fallback,pv_components_unique,state_refs_count,ast_depth_max,error,created_at
1.json,1-a.vue,uis,pretty,a,pretty,1,2.9914,5300,176,19,0,19,1.0,9,21,13,4,8,,2026-07-31T08:36:00.780748
2.json,2-a.vue,uis,pretty,a,pretty,1,0.7561,2391,71,8,0,8,1.0,3,7,12,5,7,,2026-07-31T08:36:00.787747
3.json,3-a.vue,uis,pretty,a,pretty,1,1.1504,2915,96,8,0,8,1.0,4,10,10,3,7,,2026-07-31T08:36:00.799759
4.json,4-a.vue,uis,pretty,a,pretty,1,1.1312,3276,88,15,0,15,1.0,2,12,8,9,7,,2026-07-31T08:36:00.808761
5.json,5-a.vue,uis,pretty,a,pretty,1,1.1665,4569,126,14,0,14,1.0,5,23,9,11,6,,2026-07-31T08:36:00.821279
