input,output,type,variant,strategy,complexity,run,duration,sfc_bytes,sfc_lines,instances_mapped,instances_unmapped,instances_total,mapping_coverage,frames_compound,frames_fallback,pv_components_unique,state_refs_count,ast_depth_max,error,created_at
1.json,1-a.vue,uis,messy,a,messy,1,2.8541,7502,245,0,0,0,1.0,0,75,0,0,8,,2026-07-31T08:33:54.043991
2.json,2-a.vue,uis,messy,a,messy,1,0.5716,1431,59,0,0,0,1.0,0,19,0,0,7,,2026-07-31T08:33:54.048996
3.json,3-a.vue,uis,messy,a,messy,1,1.4296,4015,141,0,0,0,1.0,0,57,0,0,7,,2026-07-31T08:33:54.054995
4.json,4-a.vue,uis,messy,a,messy,1,1.1174,3307,117,0,0,0,1.0,0,47,0,0,8,,2026-07-31T08:33:54.060989
5.json,5-a.vue,uis,messy,a,messy,1,1.7521,5661,177,0,0,0,1.0,0,50,0,0,8,,2026-07-31T08:33:54.068991
