input,output,type,variant,prompt_strategy,temperature,reasoning_effort,image_detail,strategy,complexity,provider,model,model_reported,run,attempt,generation_id,context_tokens,context_components,duration,input_tokens,output_tokens,total_tokens,cached_tokens,cache_write_tokens,reasoning_tokens,cost_usd,cost_prompt_usd,cost_completion_usd,extraction_ok,parse_ok,truncated,sfc_bytes,sfc_lines,stop_reason,native_finish_reason,refusal,error,created_at
messy-1,1-b1-gpt-5.6-terra-1.vue,uis,messy,few_shot,0.0,medium,,b1,messy,OpenAI,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785393367-YqpAtH4d55OyYxZHpvaB,0,0,18086.3688,52163,2428,54591,0,52160,275,0.09971375,0.08150375,0.01821,True,True,False,9073,263,stop,completed,,,2026-07-30T08:36:26.691234
messy-2,2-b1-gpt-5.6-terra-1.vue,uis,messy,few_shot,0.0,medium,,b1,messy,OpenAI,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785393385-jZMwSUX0EPDKbIgpZWWM,0,0,19033.7646,13138,1525,14663,0,13135,397,0.0319646875,0.0205271875,0.0114375,True,True,False,4507,129,stop,completed,,,2026-07-30T08:36:45.741273
messy-3,3-b1-gpt-5.6-terra-1.vue,uis,messy,few_shot,0.0,medium,,b1,messy,OpenAI,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785393405-AgMS9v1a58unDCPdLYFA,0,0,29698.6511,30309,2733,33042,0,30306,904,0.067854375,0.047356875,0.0204975,True,True,False,6966,219,stop,completed,,,2026-07-30T08:37:15.463948
messy-4,4-b1-gpt-5.6-terra-1.vue,uis,messy,few_shot,0.0,medium,,b1,messy,OpenAI,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785393434-KyXErLweQA7uNQU11fSF,0,0,21251.754,23495,1777,25272,0,23492,297,0.0500375,0.03671,0.0133275,True,True,False,5945,167,stop,completed,,,2026-07-30T08:37:36.734765
messy-5,5-b1-gpt-5.6-terra-1.vue,uis,messy,few_shot,0.0,medium,,b1,messy,OpenAI,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785393456-lIICbNJrxusfIT23Q5HY,0,0,18507.3965,33731,2093,35824,0,33728,516,0.06840125,0.05270375,0.0156975,True,True,False,6091,176,stop,completed,,,2026-07-30T08:37:55.270248
messy-1,1-b2-gpt-5.6-terra-1.vue,uis,messy,few_shot,0.0,medium,,b2,messy,OpenAI,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785393474-ZoI4mFMAJo5J0f7jd0R2,18072,3,21563.6179,69835,2922,72757,0,69832,516,0.13103125,0.10911625,0.021915,True,True,False,10342,306,stop,completed,,,2026-07-30T08:38:16.878655
messy-2,2-b2-gpt-5.6-terra-1.vue,uis,messy,few_shot,0.0,medium,,b2,messy,OpenAI,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785393496-D1tYpB0flPOhQrXKyv2H,0,0,16386.4086,13138,1533,14671,13135,0,372,0.013143125,0.001645625,0.0114975,True,True,False,4322,124,stop,completed,,,2026-07-30T08:38:33.277084
messy-3,3-b2-gpt-5.6-terra-1.vue,uis,messy,few_shot,0.0,medium,,b2,messy,OpenAI,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785393512-qnOeTWG40xxvX5addxlH,0,0,20960.9127,30309,2534,32843,30306,0,516,0.022797,0.003792,0.019005,True,True,False,7642,253,stop,completed,,,2026-07-30T08:38:54.254337
messy-4,4-b2-gpt-5.6-terra-1.vue,uis,messy,few_shot,0.0,medium,,b2,messy,OpenAI,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785393533-8tu9KTEaSPtzHusulexZ,0,0,12371.8209,23495,1599,25094,23492,0,226,0.01493275,0.00294025,0.0119925,True,True,False,5511,154,stop,completed,,,2026-07-30T08:39:06.645758
messy-5,5-b2-gpt-5.6-terra-1.vue,uis,messy,few_shot,0.0,medium,,b2,messy,Azure,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785393545-N4zeoHPDnbIZ0iOYmtbH,0,0,20116.5857,33731,1949,35680,0,0,414,0.1135625,0.0843275,0.029235,True,True,False,5949,173,stop,completed,,,2026-07-30T08:39:26.791337
