input,output,type,variant,prompt_strategy,temperature,reasoning_effort,image_detail,strategy,complexity,provider,model,model_reported,run,attempt,generation_id,context_tokens,context_components,duration,input_tokens,output_tokens,total_tokens,cached_tokens,cache_write_tokens,reasoning_tokens,cost_usd,cost_prompt_usd,cost_completion_usd,extraction_ok,parse_ok,truncated,sfc_bytes,sfc_lines,stop_reason,native_finish_reason,refusal,error,created_at
messy-1,1-b1-gpt-5.6-terra-1.vue,uis,messy,zero_shot,0.0,medium,,b1,messy,OpenAI,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785388193-6X3ZUREC8VXubbPp23GK,0,0,17334.4934,47397,2425,49822,0,47394,330,0.092244375,0.074056875,0.0181875,True,True,False,8010,185,stop,completed,,,2026-07-30T07:10:11.539371
messy-2,2-b1-gpt-5.6-terra-1.vue,uis,messy,zero_shot,0.0,medium,,b1,messy,OpenAI,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785388210-ekHNinKab7P0MeUw3b8g,0,0,11166.4941,8372,1330,9702,0,8369,310,0.0230553125,0.0130803125,0.009975,True,True,False,4018,108,stop,completed,,,2026-07-30T07:10:22.728560
messy-3,3-b1-gpt-5.6-terra-1.vue,uis,messy,zero_shot,0.0,medium,,b1,messy,Azure,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785388222-ocCErwNB3JChZqPnA03P,0,0,24835.0143,25543,2604,28147,0,0,811,0.1029175,0.0638575,0.03906,True,True,False,6644,206,stop,completed,,,2026-07-30T07:10:47.586569
messy-4,4-b1-gpt-5.6-terra-1.vue,uis,messy,zero_shot,0.0,medium,,b1,messy,Azure,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785388247-fzrGyB3es4yGB95V1NHS,0,0,16809.4451,18729,2366,21095,0,0,226,0.0823125,0.0468225,0.03549,True,True,False,7943,182,stop,completed,,,2026-07-30T07:11:04.414040
messy-5,5-b1-gpt-5.6-terra-1.vue,uis,messy,zero_shot,0.0,medium,,b1,messy,OpenAI,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785391918-wfp7rW3VAC0ndvl74FkZ,0,0,18683.0182,28965,2164,31129,0,28962,449,0.061486875,0.045256875,0.01623,True,True,False,6771,222,stop,completed,,,2026-07-30T08:12:16.736231
messy-1,1-b2-gpt-5.6-terra-1.vue,uis,messy,zero_shot,0.0,medium,,b2,messy,OpenAI,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785412697-5hhl7fqrSf3l8ZfNcxoO,0,0,18370.6779,41389,2699,44088,0,41386,266,0.084911875,0.064669375,0.0202425,True,True,False,8714,174,stop,completed,,,2026-07-30T13:58:35.424446
messy-2,2-b2-gpt-5.6-terra-1.vue,uis,messy,zero_shot,0.0,medium,,b2,messy,OpenAI,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785391959-ESuHlT9Ee4YjG6OuHM46,0,0,14854.9194,8372,1734,10106,0,8369,367,0.0260853125,0.0130803125,0.013005,True,True,False,4839,143,stop,completed,,,2026-07-30T08:12:54.627035
messy-3,3-b2-gpt-5.6-terra-1.vue,uis,messy,zero_shot,0.0,medium,,b2,messy,OpenAI,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785391973-kUBDd7AwG1HtozVj6Fzj,0,0,26986.0256,25543,2662,28205,0,25540,613,0.059875,0.03991,0.019965,True,True,False,7431,218,stop,completed,,,2026-07-30T08:13:21.637077
messy-4,4-b2-gpt-5.6-terra-1.vue,uis,messy,zero_shot,0.0,medium,,b2,messy,OpenAI,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785392000-wBkCJas4CYiSsjrbrvpP,0,0,22881.2823,18729,2518,21247,0,18726,259,0.048148125,0.029263125,0.018885,True,True,False,8309,208,stop,completed,,,2026-07-30T08:13:44.537363
messy-5,5-b2-gpt-5.6-terra-1.vue,uis,messy,zero_shot,0.0,medium,,b2,messy,OpenAI,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785392023-UwFB6RdPzYs9UcodcJEt,0,0,22357.26,28965,1933,30898,28962,0,370,0.0181215,0.003624,0.0144975,True,True,False,5919,173,stop,completed,,,2026-07-30T08:14:06.923662
messy-1,1-b3-gpt-5.6-terra-1.vue,uis,messy,zero_shot,0.0,medium,,b3,messy,Azure,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785412715-MiXB9ZeN0fGL9B3FiGm4,0,0,24652.015,41389,2744,44133,0,0,311,0.1446325,0.1034725,0.04116,True,True,False,9023,189,stop,completed,,,2026-07-30T13:59:00.089462
messy-2,2-b3-gpt-5.6-terra-1.vue,uis,messy,zero_shot,0.0,medium,,b3,messy,OpenAI,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785392073-O5xq0pP8dDHNjYpDV1Y1,0,0,15440.99,8372,1865,10237,8369,0,516,0.015037375,0.001049875,0.0139875,True,True,False,4644,121,stop,completed,,,2026-07-30T08:14:49.333287
messy-3,3-b3-gpt-5.6-terra-1.vue,uis,messy,zero_shot,0.0,medium,,b3,messy,OpenAI,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785392088-NxZaV8Q2V9YoP3RASOP9,0,0,19123.1296,25543,2361,27904,25540,0,447,0.02090375,0.00319625,0.0177075,True,True,False,6825,217,stop,completed,,,2026-07-30T08:15:08.480413
messy-4,4-b3-gpt-5.6-terra-1.vue,uis,messy,zero_shot,0.0,medium,,b3,messy,OpenAI,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785392107-FDTltNlIdYsKhThI9nsJ,0,0,16204.1719,18729,2202,20931,18726,0,295,0.0188595,0.0023445,0.016515,True,True,False,7463,186,stop,completed,,,2026-07-30T08:15:24.706841
messy-5,5-b3-gpt-5.6-terra-1.vue,uis,messy,zero_shot,0.0,medium,,b3,messy,OpenAI,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785392124-vEzF6y2quU52rxpU5Lmc,0,0,16594.6603,28965,1956,30921,28962,0,425,0.018294,0.003624,0.01467,True,True,False,5740,165,stop,completed,,,2026-07-30T08:15:41.326151
messy-1,1-b1-gemini-3.1-pro-preview-1.vue,uis,messy,zero_shot,0.0,medium,,b1,messy,Google,gemini-3.1-pro-preview,google/gemini-3.1-pro-preview,1,1,gen-1785392140-j2nHISxoqTz5GvBXG60h,0,0,41852.8581,62105,6410,68515,0,0,3936,0.20113,0.12421,0.07692,True,True,False,7873,187,stop,STOP,,,2026-07-30T08:16:23.231074
messy-2,2-b1-gemini-3.1-pro-preview-1.vue,uis,messy,zero_shot,0.0,medium,,b1,messy,Google,gemini-3.1-pro-preview,google/gemini-3.1-pro-preview,1,1,gen-1785392182-OZMmdLi7MfmxLCzahYn4,0,0,36336.5948,10799,4219,15018,8036,0,3009,0.0577612,0.0071332,0.050628,True,True,False,3800,89,stop,STOP,,,2026-07-30T08:16:59.579638
messy-3,3-b1-gemini-3.1-pro-preview-1.vue,uis,messy,zero_shot,0.0,medium,,b1,messy,Google,gemini-3.1-pro-preview,google/gemini-3.1-pro-preview,1,1,gen-1785392218-l6px208b8kdZE8gGYFem,0,0,35535.5103,31852,4617,36469,0,0,3103,0.119108,0.063704,0.055404,True,True,False,4827,122,stop,STOP,,,2026-07-30T08:17:35.139180
messy-4,4-b1-gemini-3.1-pro-preview-1.vue,uis,messy,zero_shot,0.0,medium,,b1,messy,Google,gemini-3.1-pro-preview,google/gemini-3.1-pro-preview,1,1,gen-1785392254-y4C6CdVXxf6BqaWzLubH,0,0,37289.2835,23505,4806,28311,0,0,2678,0.104682,0.04701,0.057672,True,True,False,7023,187,stop,STOP,,,2026-07-30T08:18:12.446454
messy-5,5-b1-gemini-3.1-pro-preview-1.vue,uis,messy,zero_shot,0.0,medium,,b1,messy,Google,gemini-3.1-pro-preview,google/gemini-3.1-pro-preview,1,1,gen-1785392292-G6y8y5LIOvLzHjaCNvzI,0,0,44472.456,38298,4782,43080,0,0,2963,0.13398,0.076596,0.057384,True,True,False,6026,140,stop,STOP,,,2026-07-30T08:18:56.941444
messy-1,1-b2-gemini-3.1-pro-preview-1.vue,uis,messy,zero_shot,0.0,medium,,b2,messy,Google,gemini-3.1-pro-preview,google/gemini-3.1-pro-preview,1,1,gen-1785412740-bYfdYyCMZD98C7tng4gr,0,0,52262.5232,54089,5258,59347,0,0,3011,0.171274,0.108178,0.063096,True,True,False,6811,154,stop,STOP,,,2026-07-30T13:59:52.366958
messy-2,2-b2-gemini-3.1-pro-preview-1.vue,uis,messy,zero_shot,0.0,medium,,b2,messy,Google,gemini-3.1-pro-preview,google/gemini-3.1-pro-preview,1,1,gen-1785392395-6W21aznIgH4QmNr88gy6,0,0,26978.6005,10799,3197,13996,0,0,2206,0.059962,0.021598,0.038364,True,True,False,3121,77,stop,STOP,,,2026-07-30T08:20:23.137416
messy-3,3-b2-gemini-3.1-pro-preview-1.vue,uis,messy,zero_shot,0.0,medium,,b2,messy,Google,gemini-3.1-pro-preview,google/gemini-3.1-pro-preview,1,1,gen-1785392422-C3NTAwgCoTho7qIAcU4N,0,0,33186.5771,31852,4617,36469,0,0,3103,0.119108,0.063704,0.055404,True,True,False,4827,122,stop,STOP,,,2026-07-30T08:20:56.340799
messy-4,4-b2-gemini-3.1-pro-preview-1.vue,uis,messy,zero_shot,0.0,medium,,b2,messy,Google,gemini-3.1-pro-preview,google/gemini-3.1-pro-preview,1,1,gen-1785392455-6IkIX2Ij17AiLKBqoa5L,0,0,31624.6035,23505,4405,27910,0,0,2812,0.09987,0.04701,0.05286,True,True,False,5300,147,stop,STOP,,,2026-07-30T08:21:27.995041
messy-5,5-b2-gemini-3.1-pro-preview-1.vue,uis,messy,zero_shot,0.0,medium,,b2,messy,Google,gemini-3.1-pro-preview,google/gemini-3.1-pro-preview,1,1,gen-1785392487-AukzIL9KzemIUiv56JrA,0,0,45121.357,38298,5492,43790,0,0,3848,0.1425,0.076596,0.065904,True,True,False,5307,122,stop,STOP,,,2026-07-30T08:22:13.144622
messy-1,1-b3-gemini-3.1-pro-preview-1.vue,uis,messy,zero_shot,0.0,medium,,b3,messy,Google,gemini-3.1-pro-preview,google/gemini-3.1-pro-preview,1,1,gen-1785412792-qAcNoAgheOhY0VdjH090,0,0,66107.7962,54089,5647,59736,49117,0,3500,0.0875314,0.0197674,0.067764,True,True,False,6913,165,stop,STOP,,,2026-07-30T14:00:58.488778
messy-2,2-b3-gemini-3.1-pro-preview-1.vue,uis,messy,zero_shot,0.0,medium,,b3,messy,Google,gemini-3.1-pro-preview,google/gemini-3.1-pro-preview,1,1,gen-1785392592-jSYxVNlUm8RGgG1exYxe,0,0,24801.3968,10799,2966,13765,0,0,1782,0.05719,0.021598,0.035592,True,True,False,3762,92,stop,STOP,,,2026-07-30T08:23:38.379471
messy-3,3-b3-gemini-3.1-pro-preview-1.vue,uis,messy,zero_shot,0.0,medium,,b3,messy,Google,gemini-3.1-pro-preview,google/gemini-3.1-pro-preview,1,1,gen-1785392617-noVLzo6JRfTHnxiR7GWx,0,0,35441.6428,31852,4655,36507,0,0,2948,0.119564,0.063704,0.05586,True,True,False,5393,139,stop,STOP,,,2026-07-30T08:24:13.843964
messy-4,4-b3-gemini-3.1-pro-preview-1.vue,uis,messy,zero_shot,0.0,medium,,b3,messy,Google,gemini-3.1-pro-preview,google/gemini-3.1-pro-preview,1,1,gen-1785392653-AluVP8Piop8H7GhwwiXC,0,0,33818.6469,23505,4806,28311,0,0,2678,0.104682,0.04701,0.057672,True,True,False,7023,187,stop,STOP,,,2026-07-30T08:24:47.674609
messy-5,5-b3-gemini-3.1-pro-preview-1.vue,uis,messy,zero_shot,0.0,medium,,b3,messy,Google,gemini-3.1-pro-preview,google/gemini-3.1-pro-preview,1,1,gen-1785392686-jcVSxv36NJ1M4Sz83rg6,0,0,53733.5026,38298,5471,43769,32735,0,3121,0.083325,0.017673,0.065652,True,True,False,7163,157,stop,STOP,,,2026-07-30T08:25:41.437132
