input,output,type,variant,prompt_strategy,temperature,reasoning_effort,image_detail,strategy,complexity,provider,model,model_reported,run,attempt,generation_id,context_tokens,context_components,duration,input_tokens,output_tokens,total_tokens,cached_tokens,cache_write_tokens,reasoning_tokens,cost_usd,cost_prompt_usd,cost_completion_usd,extraction_ok,parse_ok,truncated,sfc_bytes,sfc_lines,stop_reason,native_finish_reason,refusal,error,created_at
messy-1,1-d1-gpt-5.6-terra-1.vue,uis,messy,few_shot,0.0,medium,auto,d1,messy,OpenAI,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785416535-jnVIgT5bRKkmH2SOsfZC,0,0,19936.6972,51378,2398,53776,0,51375,193,0.0982621875,0.0802771875,0.017985,True,True,False,8561,221,stop,completed,,,2026-07-30T15:02:34.948429
messy-2,2-d1-gpt-5.6-terra-1.vue,uis,messy,few_shot,0.0,medium,auto,d1,messy,Azure,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785416555-fIAnORPOXkBF2GOQSuDP,0,0,16494.4882,16469,1361,17830,0,0,401,0.0615875,0.0411725,0.020415,True,True,False,3841,115,stop,completed,,,2026-07-30T15:02:51.447907
messy-3,3-d1-gpt-5.6-terra-1.vue,uis,messy,few_shot,0.0,medium,auto,d1,messy,Azure,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785416571-omT1VUtJREcxWcYajnd3,0,0,25765.9032,33640,2307,35947,0,0,516,0.118705,0.0841,0.034605,True,True,False,6385,210,stop,completed,,,2026-07-30T15:03:17.224523
messy-4,4-d1-gpt-5.6-terra-1.vue,uis,messy,few_shot,0.0,medium,auto,d1,messy,Azure,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785416597-C4HUqppLjJLvDEcDcebz,0,0,15223.8247,26826,1684,28510,6400,0,249,0.077925,0.052665,0.02526,True,True,False,5428,168,stop,completed,,,2026-07-30T15:03:32.455340
messy-5,5-d1-gpt-5.6-terra-1.vue,uis,messy,few_shot,0.0,medium,auto,d1,messy,Azure,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785416612-oFWc5CN4j66jXu5VKsiq,0,0,15447.0561,37062,1735,38797,6400,0,269,0.10428,0.078255,0.026025,True,True,False,5684,160,stop,completed,,,2026-07-30T15:03:47.913412
messy-1,1-d2-gpt-5.6-terra-1.vue,uis,messy,few_shot,0.0,medium,auto,d2,messy,OpenAI,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785416628-pVfi4yJUd74E911XzSWA,0,0,17966.0401,51378,2603,53981,50549,0,179,0.026877375,0.007354875,0.0195225,True,True,False,9643,286,stop,completed,,,2026-07-30T15:04:05.904755
messy-2,2-d2-gpt-5.6-terra-1.vue,uis,messy,few_shot,0.0,medium,auto,d2,messy,OpenAI,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785416645-UO63qDpRH6Zqyg4W1hHZ,0,0,12299.5498,18361,1362,19723,0,18358,411,0.038903125,0.028688125,0.010215,True,True,False,3670,117,stop,completed,,,2026-07-30T15:04:18.210294
messy-3,3-d2-gpt-5.6-terra-1.vue,uis,messy,few_shot,0.0,medium,auto,d2,messy,OpenAI,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785416658-QEp0vsXBoPRtlqHAw0kX,0,0,28542.8367,35532,2204,37736,0,35529,372,0.0720478125,0.0555178125,0.01653,True,True,False,6984,215,stop,completed,,,2026-07-30T15:04:46.762632
messy-4,4-d2-gpt-5.6-terra-1.vue,uis,messy,few_shot,0.0,medium,auto,d2,messy,Azure,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785416686-0ntWzn7QtcGQSO9qtwNP,0,0,19933.248,26826,1898,28724,25856,0,516,0.037359,0.008889,0.02847,True,True,False,5256,158,stop,completed,,,2026-07-30T15:05:06.704908
messy-5,5-d2-gpt-5.6-terra-1.vue,uis,messy,few_shot,0.0,medium,auto,d2,messy,Azure,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785416706-tM57imqX6CbtuXXtEdR9,0,0,17066.4783,37062,1854,38916,36096,0,420,0.039249,0.011439,0.02781,True,True,False,5471,152,stop,completed,,,2026-07-30T15:05:23.784373
messy-1,1-d3-gpt-5.6-terra-1.vue,uis,messy,few_shot,0.0,medium,auto,d3,messy,OpenAI,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785416723-dGJ50p7MZnO7SZwwyDBd,0,0,19255.4235,51378,2540,53918,50549,0,272,0.026404875,0.007354875,0.01905,True,True,False,8611,199,stop,completed,,,2026-07-30T15:05:43.056808
messy-2,2-d3-gpt-5.6-terra-1.vue,uis,messy,few_shot,0.0,medium,auto,d3,messy,Azure,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785416743-1ms9dUzvd3tOvgfjDCGm,0,0,12994.5588,16469,1131,17600,6400,0,318,0.0437375,0.0267725,0.016965,True,True,False,3179,106,stop,completed,,,2026-07-30T15:05:56.057340
messy-3,3-d3-gpt-5.6-terra-1.vue,uis,messy,few_shot,0.0,medium,auto,d3,messy,Azure,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785416756-Enu6F5wip1Z77Do7dndJ,0,0,25777.9925,33640,2588,36228,6400,0,817,0.10852,0.0697,0.03882,True,True,False,6728,171,stop,completed,,,2026-07-30T15:06:21.844336
messy-4,4-d3-gpt-5.6-terra-1.vue,uis,messy,few_shot,0.0,medium,auto,d3,messy,Azure,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785416781-DqfJ34x9mH9YKkDPLN3B,0,0,19236.9051,26826,1814,28640,0,0,502,0.094275,0.067065,0.02721,True,True,False,5024,156,stop,completed,,,2026-07-30T15:06:41.089225
messy-5,5-d3-gpt-5.6-terra-1.vue,uis,messy,few_shot,0.0,medium,auto,d3,messy,Azure,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785416801-Ga7eeElxCIpj1m7YWBbd,0,0,15449.265,37062,1595,38657,36096,0,190,0.035364,0.011439,0.023925,True,True,False,5332,144,stop,completed,,,2026-07-30T15:06:56.550459
