input,output,type,variant,prompt_strategy,temperature,reasoning_effort,image_detail,strategy,complexity,provider,model,model_reported,run,attempt,generation_id,context_tokens,context_components,duration,input_tokens,output_tokens,total_tokens,cached_tokens,cache_write_tokens,reasoning_tokens,cost_usd,cost_prompt_usd,cost_completion_usd,extraction_ok,parse_ok,truncated,sfc_bytes,sfc_lines,stop_reason,native_finish_reason,refusal,error,created_at
messy-1,1-c1-gpt-5.6-terra-1.vue,uis,messy,zero_shot,0.0,medium,auto,c1,messy,Azure,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785414786-gW2vfHkAwXrg3zKeiZaL,0,0,24942.0938,1810,2724,4534,0,0,516,0.045385,0.004525,0.04086,True,True,False,7878,178,stop,completed,,,2026-07-30T14:33:31.343766
messy-2,2-c1-gpt-5.6-terra-1.vue,uis,messy,zero_shot,0.0,medium,auto,c1,messy,Azure,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785414811-XttfhKr1aV23ydokT79j,0,0,15238.6713,1810,1514,3324,0,0,516,0.027235,0.004525,0.02271,True,True,False,3961,123,stop,completed,,,2026-07-30T14:33:46.590229
messy-3,3-c1-gpt-5.6-terra-1.vue,uis,messy,zero_shot,0.0,medium,auto,c1,messy,Azure,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785414826-Smq5J73V1AxrlQOAVDbZ,0,0,20862.7667,1810,2115,3925,0,0,516,0.03625,0.004525,0.031725,True,True,False,5934,196,stop,completed,,,2026-07-30T14:34:07.457226
messy-4,4-c1-gpt-5.6-terra-1.vue,uis,messy,zero_shot,0.0,medium,auto,c1,messy,Azure,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785414847-WV1dCKYli5wNCtz2OFnO,0,0,20483.6671,1810,2314,4124,0,0,497,0.039235,0.004525,0.03471,True,True,False,6445,185,stop,completed,,,2026-07-30T14:34:27.943896
messy-5,5-c1-gpt-5.6-terra-1.vue,uis,messy,zero_shot,0.0,medium,auto,c1,messy,Azure,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785414868-WMZ4iutXK06U0vArjkx7,0,0,29444.4578,1810,2849,4659,0,0,1279,0.04726,0.004525,0.042735,True,True,False,6125,177,stop,completed,,,2026-07-30T14:34:57.396868
messy-1,1-c2-gpt-5.6-terra-1.vue,uis,messy,zero_shot,0.0,medium,auto,c2,messy,Azure,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785414897-uoUhacFgccz7PdugcIAt,0,0,26210.0368,1810,2938,4748,0,0,516,0.048595,0.004525,0.04407,True,True,False,12118,238,stop,completed,,,2026-07-30T14:35:23.610910
messy-2,2-c2-gpt-5.6-terra-1.vue,uis,messy,zero_shot,0.0,medium,auto,c2,messy,Azure,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785414923-6SCAeuVou4NIMSU3Rasr,0,0,17029.2759,1810,1619,3429,0,0,516,0.02881,0.004525,0.024285,True,True,False,4576,138,stop,completed,,,2026-07-30T14:35:40.653712
messy-3,3-c2-gpt-5.6-terra-1.vue,uis,messy,zero_shot,0.0,medium,auto,c2,messy,Azure,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785414940-nMoNtnqlJHiNZTTX7tVN,0,0,41717.4075,1810,3445,5255,0,0,1347,0.0562,0.004525,0.051675,True,True,False,7693,238,stop,completed,,,2026-07-30T14:36:22.375083
messy-4,4-c2-gpt-5.6-terra-1.vue,uis,messy,zero_shot,0.0,medium,auto,c2,messy,Azure,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785414982-bC8sLiyAtkDDe3IYccyE,0,0,33351.8581,1810,3203,5013,0,0,1342,0.05257,0.004525,0.048045,True,True,False,6586,185,stop,completed,,,2026-07-30T14:36:55.730948
messy-5,5-c2-gpt-5.6-terra-1.vue,uis,messy,zero_shot,0.0,medium,auto,c2,messy,Azure,gpt-5.6-terra,openai/gpt-5.6-terra,1,1,gen-1785415015-9NKMtg2yEaE9I3W0ePF8,0,0,20359.2453,1810,2056,3866,0,0,516,0.035365,0.004525,0.03084,True,True,False,5800,169,stop,completed,,,2026-07-30T14:37:16.095327
